"0,2-nd","1,2-nd","3,2-nd"
627,8,0
627,8,0
790,4,0
629,0,0
1036,36,0
554,10,0
3530,51,0
585,1,0
3657,51,0
3390,508,0
585,1,0
85,2,0
140,6,0
144,6,0
1044,67,12
978,44,12
1048,67,18
1048,39,0
1104,35,9
40,0,0
87,13,0
4977,140,12
3157,29,0
435,3,0
930,9,0
1410,4,0
1386,37,0
1654,62,0
2295,84,0
469,0,0
3702,69,12
3920,103,12
3320,58,18
3173,33,9
3792,25,0
3131,20,0
3734,45,0
4794,78,0
3542,59,12
3597,52,0
4941,120,0
3662,80,0
5278,216,27
3871,117,15
4871,128,12
3692,99,12
5020,122,0
3118,17,0
3373,34,0
5734,230,12
4941,120,0
4950,120,0
4937,135,0
4940,124,0
3459,51,0
3372,43,0
5014,52,0
4442,51,0
3166,31,0
1343,41,0
769,33,0
1591,16,0
1217,23,0
1330,40,12
1736,34,12
887,3,0
378,10,0
148,0,0
304,3,0
149,2,0
218,4,0
193,0,0
138,0,0
388,1,0
1282,32,9
729,31,9
1042,37,9
943,24,0
445,32,9
307,24,0
355,41,9
481,31,9
2703,95,0
1531,54,0
797,23,0
600,10,0
570,9,0
780,15,0
1031,6,0
531,5,0
836,9,0
1218,67,0
1393,23,0
771,17,0
484,9,0
3642,50,0
3521,30,0
2,0,0
2,0,0
384,9,0
445,9,0
92,6,0
2710,30,0
1674,17,0
1198,26,9
526,31,9
532,24,0
506,23,0
514,23,0
493,28,9
2626,55,0
817,17,0
519,20,9
1489,19,0
524,8,0
84,3,0
72,2,0
4383,191,66
3775,101,45
3847,125,48
3844,138,69
2688,119,42
2723,150,51
2514,93,15
2887,139,66
2470,82,0
1665,57,0
1888,104,45
1809,76,0
1367,36,0
1719,70,15
2086,113,48
372,0,0
1081,5,0
728,8,0
746,8,0
47,0,0
858,62,0
1022,63,0
857,62,0
423,0,0
1258,8,0
1379,19,0
2349,149,0
2000,21,0
1618,59,12
1242,21,0
1711,75,12
2474,200,21
1926,105,27
2297,149,0
2227,164,15
1588,78,15
2423,171,15
1841,80,15
2229,149,0
2357,154,0
2291,153,0
2229,149,0
2308,257,33
2279,149,0
1590,57,0
4,0,0
2412,17,0
2165,26,0
311,11,0
1148,15,0
847,9,0
1153,8,0
845,6,0
181,19,9
240,10,0
419,25,0
667,7,0
20,0,0
20,0,0
82,0,0
2286,84,0
2286,84,0
2112,8,0
2016,9,0
4393,106,0
4430,134,18
4389,123,12
4676,174,0
4618,116,0
4461,148,24
4393,106,0
2245,23,0
2934,110,9
2778,25,0
2431,64,18
2313,29,0
2318,53,12
2533,34,0
2093,32,0
2462,95,0
2318,87,0
2430,89,0
2348,31,0
2278,27,0
2068,0,0
78,0,0
141,10,0
0,0,0
100,0,0
20,1,0
16,1,0
2,1,0
2,1,0
595,26,0
303,8,0
303,8,0
3292,8,0
3412,10,0
237,6,0
1983,0,0
253,6,0
687,18,0
353,6,0
0,0,0
863,36,9
863,29,9
740,25,0
387,34,9
10,0,0
79,16,0
243,4,0
15,0,0
890,41,9
755,21,0
5,0,0
167,7,0
0,0,0
141,0,0
2,0,0
18,9,0
18,9,0
18,9,0
18,9,0
1024,15,0
434,10,0
538,15,0
198,6,0
213,17,9
1210,12,0
4576,156,12
3850,87,15
3585,58,0
2011,55,15
2750,25,0
245,3,0
242,4,0
272,3,0
973,14,0
991,9,0
1095,17,0
51,9,0
101,9,0
51,9,0
3359,41,0
3417,41,0
3240,41,0
3239,51,0
3460,12,0
3336,47,15
3393,58,15
3223,0,0
3297,40,15
3415,78,30
3457,58,12
3374,49,15
3273,0,0
3434,21,0
3166,0,0
3869,33,0
3818,37,0
3433,25,0
3363,19,0
3514,26,0
853,5,0
837,5,0
494,2,0
493,4,0
281,11,0
238,10,0
357,11,0
1153,23,0
432,0,0
254,35,0
320,5,0
237,3,0
293,5,0
514,5,0
287,5,0
81,9,0
81,9,0
81,9,0
94,9,0
184,3,0
84,0,0
817,21,0
2913,508,0
2913,508,0
2963,511,0
2973,511,0
2913,508,0
2952,526,24
2911,514,12
2905,548,30
2911,518,15
2913,508,0
2913,508,0
2913,508,0
2913,508,0
2912,511,0
2913,508,0
2937,508,0
2913,508,0
2913,508,0
2910,523,15
2913,508,0
2924,515,0
2913,508,0
2728,10,0
2727,12,0
2739,13,0
2508,36,0
2457,36,0
2500,44,0
2512,37,0
2561,61,12
2688,84,18
2606,78,15
2605,83,15
2608,50,0
2436,0,0
2413,10,0
2535,6,0
2209,4,0
2208,21,0
2209,17,0
2253,40,0
2209,15,0
2310,61,12
2447,84,18
2374,54,0
2361,78,15
2406,80,15
493,0,0
55,1,0
55,1,0
60,3,0
243,6,0
459,0,0
463,0,0
543,33,9
497,24,9
845,5,0
909,21,0
542,32,9
310,2,0
42,2,0
258,23,9
606,5,0
559,0,0
1261,139,0
1208,19,0
453,7,0
452,9,0
464,10,0
243,15,0
232,15,0
3,1,0
22,2,0
134,2,0
82,4,0
2193,40,0
1918,43,12
2159,113,12
938,37,12
115,3,0
116,2,0
1014,3,0
72,7,0
72,6,0
73,6,0
223,16,0
192,16,0
331,16,0
79,16,0
268,1,0
1446,105,54
1485,106,54
1446,105,54
1485,106,54
1446,105,54
1485,106,54
88,2,0
0,0,0
1594,152,144
1558,150,144
1647,165,150
1684,167,150
1647,165,150
1594,152,144
1683,167,150
1686,174,150
1683,167,150
1647,165,150
1684,167,150
1647,165,150
1731,191,171
1695,189,171
1731,191,171
893,145,12
652,35,0
865,41,15
205,0,0
121,0,0
1464,146,144
1594,152,144
1598,159,144
1594,152,144
1558,150,144
1596,152,144
1558,150,144
1684,167,150
1647,165,150
1684,167,150
0,0,0
3,1,0
60,4,0
1,0,0
1,0,0
7,1,0
376,22,9
3,1,0
3,0,0
8,1,0
287,11,0
931,2,0
778,12,0
1078,34,0
1386,57,12
942,137,0
790,35,15
252,42,12
18,9,9
18,9,9
18,9,9
1768,33,0
998,43,0
2430,72,0
2383,71,0
2225,73,15
2370,156,30
1289,56,15
894,138,0
956,18,0
2161,28,0
2162,25,0
1707,21,0
632,4,0
152,0,0
1099,18,0
1211,15,0
2151,117,15
2347,124,15
2243,33,0
1281,24,0
2270,99,0
0,0,0
1244,22,0
2,1,0
2158,119,21
2153,99,0
2153,99,0
1649,140,0
895,137,0
894,139,0
893,145,12
895,137,0
895,137,0
895,137,0
23,1,0
830,5,0
829,16,0
830,5,0
1586,16,0
3061,0,0
3952,113,0
4135,147,45
4187,168,48
4155,188,69
3930,102,0
3330,131,51
3119,57,15
3545,130,51
3285,58,15
3164,30,0
2944,23,0
2922,23,0
3202,89,15
3204,74,0
3203,82,15
2803,9,0
1299,14,0
242,4,0
17,0,0
252,42,12
913,0,0
1594,152,144
1598,159,144
1594,152,144
1686,174,150
1683,167,150
1686,174,150
1334,68,0
31,0,0
121,11,0
23,1,0
34,1,0
24,1,0
24,0,0
0,0,0
1024,11,0
1469,14,0
1166,15,0
18,9,9
66,11,0
66,11,0
71,12,0
70,5,0
56,0,0
4,0,0
8,2,0
7,2,0
8,2,0
3,1,0
2,1,0
2,1,0
108,12,9
153,11,9
153,11,9
1034,39,15
2491,6,0
1268,48,15
1094,42,15
833,0,0
2,1,0
658,18,0
481,15,0
2,1,0
1808,21,0
152,0,0
1879,38,0
1854,28,0
2578,104,45
2364,69,15
2756,110,48
425,10,0
3,0,0
7,0,0
6,1,0
87,9,0
91,0,0
36,4,0
24,4,0
25,9,0
25,9,0
25,9,0
57,2,0
70,6,0
46,0,0
59,13,0
38,0,0
1271,48,0
1201,49,0
1248,61,15
78,12,9
36,8,0
13,3,0
13,3,0
0,0,0
1684,167,150
1647,165,150
1684,167,150
1731,191,171
16,0,0
1478,48,15
33,1,0
33,1,0
875,13,0
0,0,0
24,4,0
31,0,0
25,2,0
26,2,0
326,24,12
0,0,0
57,17,9
57,17,9
59,13,9
17,4,0
17,4,0
8,4,0
18,9,9
18,9,9
18,9,9
18,9,9
5,0,0
1,0,0
43,0,0
0,0,0
14,0,0
24,4,0
24,4,0
0,0,0
14,2,0
2,1,0
14,2,0
52,13,9
0,0,0
8,4,0
8,4,0
0,0,0
