"0,1-d","2,1-d","3,1-d","4,1-d"
40,4,0,0
75,14,20,9
92,28,85,27
77,16,35,0
54,6,5,0
83,16,45,18
50,4,5,0
83,18,50,9
88,22,60,9
72,16,40,18
57,10,20,0
98,16,35,9
93,4,5,0
60,12,30,9
76,14,35,18
61,14,45,18
55,8,15,0
65,8,20,9
68,8,20,9
57,6,10,0
52,4,0,0
74,4,0,0
57,4,0,0
43,4,5,0
51,8,10,0
46,2,0,0
51,4,5,0
53,2,0,0
54,8,20,9
56,4,5,0
42,0,0,0
48,4,5,0
51,8,15,9
51,2,0,0
41,2,0,0
42,4,5,0
59,8,10,0
36,8,10,0
40,6,10,0
33,2,0,0
40,4,0,0
44,4,5,0
32,4,5,0
49,2,0,0
39,4,5,0
36,4,5,0
44,6,15,9
28,2,0,0
37,6,0,0
27,2,0,0
31,2,0,0
29,6,15,9
30,2,0,0
31,2,0,0
36,10,20,9
35,2,0,0
32,6,15,9
34,2,0,0
54,8,15,0
43,10,15,0
62,8,20,9
32,4,0,0
38,4,0,0
36,4,0,0
43,0,0,0
30,8,30,36
28,8,30,36
29,8,30,36
35,6,5,0
32,6,10,0
40,8,30,36
19,0,0,0
29,8,30,36
20,2,0,0
44,4,5,0
27,4,5,0
9,2,0,0
10,2,0,0
21,4,5,0
49,8,15,0
88,10,35,36
85,6,10,0
73,8,5,0
94,8,30,36
59,4,5,0
63,16,15,0
69,6,5,0
50,4,5,0
48,4,0,0
57,14,40,36
42,2,0,0
43,10,30,36
44,8,0,0
48,2,0,0
42,0,0,0
36,0,0,0
41,6,0,0
40,2,0,0
37,0,0,0
66,6,5,0
37,2,0,0
70,2,0,0
37,2,0,0
46,2,0,0
46,2,0,0
71,4,5,0
37,2,0,0
42,6,0,0
53,2,0,0
37,2,0,0
49,12,20,9
59,4,5,0
67,10,25,9
61,6,5,0
80,8,10,0
45,2,0,0
66,20,80,81
93,12,20,0
45,8,30,36
45,8,30,36
57,6,5,0
52,4,0,0
74,6,5,0
47,2,0,0
58,12,45,45
71,22,80,81
47,2,0,0
38,2,0,0
36,2,0,0
56,6,10,0
76,18,50,45
39,4,5,0
39,4,5,0
42,0,0,0
59,4,5,0
40,6,10,0
52,2,0,0
42,10,15,0
52,4,5,0
45,14,60,72
94,26,90,63
79,22,55,27
86,8,5,0
67,18,95,126
70,4,0,0
77,14,35,18
75,16,40,36
85,24,130,144
66,18,65,36
59,14,45,45
85,16,70,81
63,12,55,72
54,6,10,0
55,12,50,63
69,8,0,0
52,6,10,0
52,6,10,0
58,12,45,36
63,12,25,18
49,2,0,0
51,4,5,0
54,4,0,0
45,6,15,9
56,0,0,0
44,2,0,0
51,6,0,0
49,12,75,180
48,12,75,180
43,2,0,0
48,12,75,180
53,2,0,0
42,0,0,0
48,12,75,180
50,4,0,0
48,12,75,180
48,12,75,180
48,12,75,180
47,0,0,0
64,10,30,18
40,4,5,0
35,6,5,0
34,6,10,0
27,2,0,0
54,4,5,0
37,2,0,0
14,2,0,0
13,0,0,0
27,4,5,0
43,12,10,0
30,0,0,0
75,8,5,0
24,4,5,0
39,4,5,0
23,0,0,0
21,4,5,0
19,4,5,0
40,2,0,0
19,4,5,0
26,4,0,0
33,6,5,0
17,0,0,0
22,2,0,0
17,0,0,0
17,0,0,0
41,2,0,0
87,20,60,18
68,6,5,0
83,10,20,0
95,22,90,63
76,14,60,54
95,16,35,9
65,4,0,0
75,16,65,90
79,6,15,9
83,12,25,9
110,28,90,54
62,6,10,0
62,6,10,0
65,2,0,0
105,10,15,0
94,4,0,0
72,10,20,0
57,10,50,90
54,4,5,0
76,10,50,90
53,2,0,0
68,16,80,108
73,18,65,54
59,6,0,0
69,6,10,0
59,8,30,36
66,12,30,9
60,10,15,0
63,10,20,9
66,6,10,0
59,2,0,0
56,8,10,0
54,4,5,0
56,8,5,0
74,0,0,0
57,0,0,0
68,6,5,0
57,8,5,0
58,6,5,0
67,4,5,0
58,6,10,0
76,4,0,0
60,4,0,0
80,18,60,18
61,12,25,9
54,10,20,9
80,12,30,9
49,2,0,0
85,14,30,0
54,16,50,9
45,4,5,0
42,2,0,0
79,10,15,0
49,6,10,0
64,8,10,0
53,12,30,18
58,14,35,9
46,16,10,0
40,6,15,9
54,4,0,0
67,8,0,0
45,6,0,0
61,4,5,0
39,4,5,0
37,0,0,0
47,4,5,0
40,2,0,0
38,2,0,0
37,0,0,0
41,6,10,0
41,4,5,0
41,2,0,0
46,4,0,0
54,12,25,0
41,2,0,0
18,0,0,0
15,10,50,90
23,10,50,90
27,10,50,90
30,10,50,90
23,10,50,90
27,10,50,90
13,0,0,0
66,10,40,45
77,12,45,36
94,12,25,0
76,14,50,27
59,16,30,9
66,2,0,0
77,26,105,72
54,6,15,9
61,14,50,36
51,4,5,0
69,8,20,9
54,8,15,9
91,12,55,72
75,18,85,81
85,12,55,72
75,10,45,63
99,20,75,54
61,12,50,54
91,16,65,54
54,8,15,9
85,4,5,0
62,4,5,0
76,16,50,45
56,4,5,0
56,4,5,0
57,6,15,9
87,36,105,36
67,10,25,9
60,4,5,0
73,8,15,9
64,4,5,0
56,6,5,0
58,4,5,0
70,2,0,0
64,8,30,36
53,8,20,9
59,8,10,0
50,2,0,0
63,10,20,9
58,8,30,36
53,2,0,0
61,6,10,0
71,4,0,0
62,4,5,0
36,2,0,0
22,6,15,9
39,4,5,0
25,4,5,0
19,4,5,0
26,4,5,0
19,4,5,0
17,0,0,0
17,0,0,0
55,0,0,0
92,20,30,9
60,0,0,0
58,0,0,0
102,0,0,0
54,4,5,0
54,4,5,0
72,4,0,0
85,6,5,0
86,8,5,0
71,4,5,0
64,4,5,0
58,2,0,0
51,8,20,9
72,4,5,0
56,6,10,0
85,10,10,0
47,4,5,0
61,4,0,0
53,8,15,9
61,4,0,0
63,2,0,0
57,4,5,0
56,2,0,0
75,6,10,0
47,2,0,0
54,8,5,0
71,4,0,0
53,2,0,0
56,4,5,0
62,6,5,0
47,2,0,0
52,6,10,0
68,2,0,0
71,2,0,0
48,2,0,0
58,2,0,0
48,0,0,0
52,2,0,0
61,2,0,0
50,6,15,9
3,0,0,0
59,6,10,0
39,10,45,63
29,4,5,0
54,6,5,0
52,6,10,0
45,6,0,0
62,14,60,72
51,10,35,36
42,22,75,72
47,14,60,72
36,6,15,9
23,2,0,0
32,0,0,0
27,4,5,0
22,8,30,36
19,2,0,0
24,6,5,0
20,2,0,0
34,4,5,0
35,4,5,0
20,2,0,0
18,2,0,0
29,2,0,0
22,2,0,0
21,6,5,0
21,4,5,0
18,0,0,0
25,6,5,0
20,0,0,0
18,4,5,0
20,2,0,0
16,0,0,0
17,2,0,0
25,2,0,0
22,2,0,0
11,6,5,0
40,4,5,0
43,4,5,0
10,4,5,0
9,4,5,0
10,4,5,0
58,14,65,90
49,8,15,0
28,6,15,9
68,30,190,234
49,16,65,63
42,14,75,108
42,6,5,0
68,16,85,126
57,14,50,45
39,4,5,0
46,18,70,72
38,10,45,63
47,10,15,0
41,8,15,0
47,20,55,18
36,2,0,0
64,0,0,0
33,4,5,0
34,4,5,0
29,4,5,0
26,2,0,0
28,2,0,0
50,10,20,9
44,14,45,45
41,6,15,9
70,12,55,90
45,10,30,36
42,6,5,0
72,34,105,135
52,10,40,45
44,2,0,0
42,8,30,36
40,6,15,9
45,12,35,36
54,10,40,45
49,4,5,0
40,4,5,0
42,4,5,0
41,8,30,36
47,4,5,0
38,2,0,0
46,2,0,0
39,4,5,0
41,4,5,0
39,0,0,0
56,2,0,0
42,10,50,90
47,10,50,90
38,2,0,0
41,8,30,36
43,4,5,0
43,12,35,36
37,0,0,0
42,10,50,90
43,4,5,0
39,4,5,0
42,10,50,90
38,2,0,0
20,6,15,9
17,6,15,9
18,4,5,0
28,4,0,0
24,0,0,0
15,4,5,0
25,2,0,0
15,4,5,0
23,4,5,0
15,2,0,0
15,4,5,0
13,0,0,0
18,2,0,0
55,8,15,0
55,6,5,0
57,6,0,0
43,10,20,9
17,4,0,0
34,4,0,0
29,6,15,9
15,4,0,0
32,6,15,9
19,6,15,9
12,0,0,0
15,2,0,0
24,8,15,0
31,6,10,0
40,4,5,0
45,12,60,99
53,4,0,0
37,12,60,99
55,18,70,99
38,10,50,90
21,10,50,90
22,10,50,90
24,2,0,0
11,6,15,9
15,8,30,36
11,8,30,36
11,8,30,36
13,8,30,36
46,6,5,0
42,6,10,0
54,4,5,0
31,4,0,0
17,2,0,0
13,2,0,0
11,0,0,0
11,0,0,0
13,2,0,0
11,0,0,0
11,0,0,0
38,0,0,0
19,2,0,0
10,2,0,0
63,8,5,0
52,8,10,0
49,4,5,0
54,8,0,0
55,10,25,18
41,4,5,0
56,12,45,36
40,6,15,9
51,4,0,0
42,0,0,0
51,6,0,0
52,0,0,0
66,8,25,18
46,6,15,9
52,6,5,0
46,6,5,0
30,2,0,0
40,6,5,0
45,2,0,0
37,4,5,0
31,2,0,0
31,4,5,0
36,4,5,0
54,6,5,0
23,8,10,0
24,8,5,0
20,2,0,0
24,4,5,0
27,0,0,0
30,2,0,0
31,4,5,0
21,4,5,0
27,0,0,0
19,0,0,0
30,0,0,0
21,4,5,0
19,0,0,0
35,4,0,0
22,2,0,0
68,10,15,0
59,8,15,0
66,10,15,0
59,10,20,9
52,6,10,0
93,10,10,0
58,6,15,9
65,4,0,0
42,6,5,0
38,4,5,0
54,6,10,0
88,6,10,0
55,6,5,0
37,4,5,0
51,10,10,0
48,8,15,0
58,4,0,0
44,6,5,0
47,4,5,0
37,4,5,0
38,0,0,0
42,2,0,0
42,6,15,9
42,6,15,9
38,6,15,9
39,0,0,0
26,2,0,0
24,0,0,0
23,2,0,0
32,2,0,0
17,0,0,0
24,2,0,0
32,2,0,0
9,0,0,0
15,2,0,0
76,16,70,90
50,24,85,99
50,8,5,0
76,14,60,90
65,14,40,36
51,16,50,27
52,18,35,9
64,18,50,45
91,22,75,63
60,8,5,0
52,6,15,9
69,8,10,0
63,10,20,9
54,10,35,36
43,6,10,0
41,8,10,0
48,4,0,0
42,6,10,0
42,4,0,0
58,8,20,9
61,16,50,45
40,8,30,36
56,12,35,27
46,10,35,27
52,4,0,0
56,12,20,9
43,4,5,0
34,2,0,0
35,4,0,0
40,2,0,0
67,14,25,0
56,6,5,0
37,2,0,0
40,2,0,0
45,6,5,0
37,6,5,0
45,0,0,0
51,14,45,27
48,12,40,27
40,2,0,0
42,10,25,9
36,12,40,27
37,2,0,0
24,0,0,0
25,0,0,0
30,6,15,9
29,0,0,0
27,6,15,9
27,4,5,0
37,4,5,0
19,0,0,0
34,6,0,0
20,2,0,0
44,2,0,0
13,4,0,0
13,2,0,0
12,2,0,0
12,2,0,0
28,6,10,0
22,6,10,0
25,4,5,0
12,2,0,0
10,0,0,0
9,0,0,0
27,4,0,0
19,2,0,0
47,4,5,0
18,2,0,0
26,2,0,0
74,6,0,0
38,6,10,0
23,4,0,0
24,4,5,0
35,6,10,0
39,4,5,0
26,4,5,0
33,4,5,0
18,4,5,0
21,2,0,0
23,0,0,0
10,0,0,0
45,4,0,0
38,2,0,0
74,8,10,0
60,4,5,0
45,10,30,18
61,8,10,0
57,16,45,18
84,26,65,45
49,8,30,36
72,8,5,0
55,10,25,9
37,0,0,0
56,8,10,0
56,10,35,36
66,6,10,0
43,2,0,0
35,4,5,0
41,2,0,0
44,4,0,0
36,2,0,0
70,10,30,36
57,8,30,36
43,4,5,0
44,4,5,0
48,8,20,9
42,6,15,9
43,2,0,0
34,12,15,0
68,6,5,0
36,4,0,0
39,4,5,0
34,4,0,0
78,8,5,0
32,2,0,0
44,4,0,0
28,2,0,0
37,6,5,0
33,2,0,0
36,4,5,0
42,6,10,0
23,2,0,0
24,4,5,0
23,2,0,0
30,6,10,0
54,10,15,0
28,8,15,0
28,4,0,0
33,2,0,0
22,4,5,0
18,6,10,0
15,4,5,0
22,2,0,0
13,4,5,0
19,6,5,0
8,2,0,0
30,2,0,0
56,10,15,0
56,10,15,0
48,6,5,0
36,6,5,0
21,6,10,0
40,8,10,0
31,4,5,0
44,10,10,0
49,4,0,0
22,4,5,0
25,2,0,0
16,6,5,0
23,2,0,0
36,0,0,0
36,0,0,0
33,2,0,0
20,4,0,0
31,2,0,0
27,0,0,0
38,4,0,0
31,6,5,0
31,6,5,0
30,4,0,0
19,2,0,0
27,0,0,0
24,4,5,0
24,6,0,0
31,2,0,0
21,6,5,0
12,4,5,0
9,2,0,0
8,0,0,0
8,0,0,0
10,4,5,0
27,6,15,9
27,2,0,0
14,2,0,0
8,4,0,0
7,2,0,0
7,2,0,0
67,22,95,99
60,18,95,117
86,36,165,144
75,22,85,54
60,12,25,0
60,10,20,9
57,10,20,9
78,12,30,9
66,14,40,9
64,22,95,81
74,16,20,0
56,10,45,63
56,8,5,0
63,6,15,9
52,4,5,0
72,4,5,0
57,8,15,9
54,12,20,9
65,18,65,36
67,8,10,0
70,8,5,0
71,18,45,18
64,10,10,0
61,4,5,0
76,6,15,9
50,6,5,0
52,8,5,0
49,6,15,9
44,2,0,0
53,4,0,0
62,4,5,0
72,2,0,0
55,0,0,0
23,0,0,0
26,2,0,0
24,2,0,0
31,4,5,0
22,2,0,0
15,2,0,0
15,2,0,0
41,12,25,9
69,14,30,9
35,8,10,0
43,10,5,0
36,14,35,0
37,8,15,9
40,10,5,0
54,6,5,0
46,14,40,9
41,8,5,0
52,8,10,0
30,6,15,9
33,12,20,9
60,14,70,99
49,10,40,45
34,4,5,0
36,6,15,9
36,6,15,9
47,8,15,9
19,2,0,0
26,2,0,0
19,2,0,0
22,0,0,0
63,4,0,0
26,2,0,0
40,4,0,0
38,2,0,0
27,2,0,0
44,2,0,0
20,2,0,0
25,4,0,0
19,0,0,0
19,0,0,0
17,0,0,0
16,2,0,0
19,0,0,0
18,2,0,0
16,2,0,0
28,6,15,9
23,2,0,0
22,6,15,9
30,6,15,9
30,6,15,9
14,2,0,0
27,10,10,0
51,4,5,0
37,2,0,0
13,2,0,0
26,2,0,0
23,4,0,0
10,0,0,0
11,2,0,0
39,6,0,0
18,2,0,0
32,2,0,0
58,6,5,0
26,4,0,0
33,2,0,0
30,2,0,0
18,2,0,0
23,0,0,0
18,0,0,0
18,2,0,0
17,0,0,0
69,6,5,0
91,14,25,9
75,14,45,36
78,8,10,0
66,8,15,0
64,10,35,36
49,0,0,0
56,8,30,36
101,18,25,0
59,4,5,0
69,2,0,0
65,16,25,9
56,8,15,9
46,4,5,0
65,6,10,0
67,8,5,0
67,2,0,0
70,2,0,0
51,4,0,0
50,2,0,0
46,0,0,0
54,2,0,0
46,2,0,0
50,0,0,0
51,2,0,0
50,2,0,0
45,2,0,0
75,2,0,0
43,0,0,0
47,2,0,0
42,4,5,0
8,4,5,0
7,0,0,0
6,0,0,0
37,12,20,9
35,6,5,0
84,14,15,0
32,2,0,0
33,4,5,0
47,8,20,9
48,12,30,9
49,6,0,0
28,4,5,0
31,2,0,0
31,6,15,9
39,0,0,0
42,2,0,0
50,2,0,0
37,2,0,0
30,0,0,0
27,0,0,0
26,0,0,0
27,2,0,0
28,2,0,0
26,0,0,0
36,4,0,0
20,2,0,0
16,2,0,0
27,4,5,0
23,6,5,0
24,4,5,0
54,2,0,0
24,6,0,0
28,2,0,0
13,2,0,0
13,2,0,0
65,8,30,36
33,4,5,0
45,2,0,0
42,2,0,0
46,2,0,0
41,2,0,0
76,12,10,0
48,8,15,9
47,12,40,45
62,12,40,45
43,10,40,45
25,2,0,0
31,4,5,0
32,4,5,0
26,2,0,0
25,2,0,0
25,0,0,0
28,8,30,36
25,2,0,0
36,2,0,0
25,2,0,0
26,4,5,0
18,4,5,0
13,0,0,0
12,4,5,0
7,4,5,0
65,10,20,0
83,6,0,0
67,8,5,0
66,0,0,0
68,14,35,9
70,2,0,0
64,6,10,0
53,6,5,0
69,12,30,9
70,8,20,9
63,12,25,0
55,12,20,9
50,4,5,0
61,8,20,9
60,14,15,0
61,2,0,0
59,6,5,0
64,4,5,0
50,4,5,0
57,8,15,9
70,4,0,0
65,8,5,0
58,2,0,0
52,6,5,0
54,6,15,9
58,2,0,0
52,4,5,0
62,4,5,0
103,4,0,0
52,8,5,0
58,2,0,0
49,0,0,0
71,2,0,0
52,4,0,0
54,0,0,0
57,2,0,0
57,2,0,0
53,2,0,0
48,0,0,0
67,18,40,9
77,6,5,0
44,4,5,0
68,16,45,18
57,16,45,9
60,24,50,9
73,8,15,0
45,2,0,0
42,6,10,0
54,8,20,9
49,4,5,0
60,8,20,9
48,4,0,0
46,2,0,0
52,2,0,0
53,10,20,0
46,2,0,0
38,2,0,0
38,4,5,0
37,4,5,0
37,4,5,0
34,4,5,0
34,4,5,0
4,4,5,0
25,2,0,0
38,8,5,0
44,8,5,0
40,6,10,0
34,0,0,0
28,8,10,0
25,6,10,0
26,4,5,0
24,8,15,0
19,4,5,0
18,2,0,0
23,2,0,0
19,2,0,0
25,4,5,0
62,10,35,36
29,12,50,63
28,10,25,9
28,10,25,9
21,4,5,0
34,10,15,0
26,10,45,63
23,10,45,63
28,16,65,72
23,10,35,36
26,10,15,9
36,6,15,9
25,6,15,9
29,0,0,0
19,6,15,9
34,6,15,9
21,0,0,0
29,4,5,0
25,6,5,0
16,2,0,0
20,4,5,0
20,4,5,0
21,2,0,0
24,4,5,0
29,6,5,0
33,8,20,9
34,8,25,18
47,14,40,27
25,8,25,18
20,10,35,27
18,4,5,0
34,4,0,0
16,2,0,0
29,4,0,0
16,4,5,0
16,4,5,0
16,4,5,0
29,4,5,0
32,8,5,0
19,2,0,0
9,2,0,0
20,2,0,0
63,22,40,9
44,8,5,0
43,6,10,0
52,8,10,0
51,2,0,0
58,8,5,0
47,8,10,0
71,8,5,0
60,10,10,0
47,4,0,0
57,16,20,9
45,6,5,0
52,8,5,0
63,8,20,9
56,6,10,0
53,0,0,0
51,10,10,0
54,4,5,0
53,8,15,9
42,2,0,0
61,2,0,0
40,0,0,0
40,2,0,0
50,0,0,0
44,10,20,9
42,8,20,9
68,4,5,0
43,6,0,0
39,6,5,0
46,2,0,0
20,4,5,0
32,6,15,9
33,6,15,9
34,2,0,0
16,6,15,9
16,0,0,0
25,2,0,0
18,2,0,0
12,2,0,0
13,2,0,0
38,2,0,0
74,10,20,9
31,6,15,9
33,12,30,18
32,6,10,0
33,6,10,0
28,10,25,18
34,10,25,18
24,6,10,0
29,10,15,0
52,6,5,0
52,16,40,27
25,8,25,18
29,10,35,27
25,6,15,9
25,8,25,18
25,6,15,9
35,8,5,0
36,6,5,0
45,6,10,0
51,2,0,0
48,4,5,0
51,8,10,0
40,4,5,0
55,4,0,0
45,6,15,9
42,4,5,0
42,8,10,0
50,4,5,0
42,6,5,0
49,2,0,0
44,8,10,0
47,4,5,0
46,6,15,9
37,6,15,9
35,6,15,9
61,12,10,0
39,6,15,9
31,2,0,0
54,10,15,9
32,4,5,0
42,4,0,0
17,4,5,0
67,6,0,0
32,4,0,0
11,2,0,0
15,0,0,0
17,2,0,0
35,6,0,0
19,4,0,0
17,2,0,0
11,0,0,0
5,2,0,0
4,0,0,0
44,10,25,9
42,2,0,0
28,10,50,90
47,10,50,90
39,10,50,90
35,6,5,0
32,2,0,0
45,6,15,9
51,6,15,9
35,4,0,0
49,6,5,0
24,2,0,0
24,2,0,0
42,6,5,0
24,0,0,0
23,0,0,0
37,8,0,0
35,8,10,0
26,8,15,0
27,4,5,0
39,8,20,0
36,0,0,0
19,0,0,0
